City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Luxeuil-Les-Bains,FR,2021-10-24 12:41:39,47.8171,6.365,62.33,55,0,5.75,clear sky
137,Pedernales,DO,2021-10-24 12:41:39,18.0384,-71.744,82.96,59,13,2.82,few clouds
138,Byron Bay,AU,2021-10-24 12:41:40,-28.65,153.6167,71.87,85,100,7.72,overcast clouds
139,Placido De Castro,BR,2021-10-24 12:41:40,-10.3353,-67.1856,89.69,53,6,4.83,clear sky
140,Sorland,NO,2021-10-24 12:41:40,67.667,12.6934,39.27,79,100,23.06,overcast clouds
141,Maceio,BR,2021-10-24 12:41:41,-9.6658,-35.7353,89.04,66,75,17.27,broken clouds
142,Georgetown,MY,2021-10-24 12:36:58,5.4112,100.3354,84.13,85,40,5.99,thunderstorm with light rain
143,Port Macquarie,AU,2021-10-24 12:41:41,-31.4333,152.9167,63.9,74,100,6.08,overcast clouds
144,Aklavik,CA,2021-10-24 12:40:05,68.2191,-135.0107,25.63,95,94,2.28,overcast clouds
145,Hithadhoo,MV,2021-10-24 12:39:58,-0.6,73.0833,82.26,75,61,13.35,broken clouds
146,Log,RU,2021-10-24 12:41:42,49.4844,43.8613,51.21,38,100,9.06,overcast clouds
147,Cherskiy,RU,2021-10-24 12:41:42,68.75,161.3,-9.04,98,100,5.97,overcast clouds
148,Jiblah,YE,2021-10-24 12:41:43,13.9216,44.1467,73.08,22,3,4.99,clear sky
149,Port Blair,IN,2021-10-24 12:41:43,11.6667,92.75,81.28,77,14,4.54,few clouds
150,Bethel,US,2021-10-24 12:37:45,41.3712,-73.414,48.49,91,40,3.44,scattered clouds
151,Gorodovikovsk,RU,2021-10-24 12:41:43,46.0878,41.9335,52.61,83,100,4.9,moderate rain
152,Alpine,US,2021-10-24 12:41:44,32.835,-116.7664,56.43,84,1,0.0,clear sky
153,Dolores,AR,2021-10-24 12:41:44,-36.3132,-57.6792,57.7,49,0,10.33,clear sky
154,Rio Grande,BR,2021-10-24 12:41:44,-32.035,-52.0986,64.51,59,0,16.62,clear sky
155,Borovskoy,KZ,2021-10-24 12:41:45,53.8,64.15,54.95,36,100,20.87,overcast clouds
156,Dongsheng,CN,2021-10-24 12:41:45,39.8161,109.9776,46.26,35,100,2.89,overcast clouds
157,Amapa,BR,2021-10-24 12:41:45,1.0,-52.0,86.27,58,22,5.37,few clouds
158,Coahuayana,MX,2021-10-24 12:41:46,18.7333,-103.6833,80.08,94,100,4.34,overcast clouds
159,Izumo,JP,2021-10-24 12:41:46,35.3667,132.7667,51.75,77,100,5.44,overcast clouds
160,Broken Hill,AU,2021-10-24 12:41:46,-31.95,141.4333,60.51,27,0,9.22,clear sky
161,Pullman,US,2021-10-24 12:38:54,46.7313,-117.1796,45.84,86,1,3.0,clear sky
162,Le Vauclin,MQ,2021-10-24 12:41:47,14.5452,-60.8388,86.05,66,0,17.27,clear sky
163,Lincoln,US,2021-10-24 12:39:51,40.8,-96.667,49.95,96,90,1.99,mist
164,Kapaa,US,2021-10-24 12:40:12,22.0752,-159.319,75.52,85,75,16.11,broken clouds
165,Asfi,MA,2021-10-24 12:41:48,32.2994,-9.2372,71.98,63,96,12.26,overcast clouds
166,Tiznit,MA,2021-10-24 12:41:48,29.5833,-9.5,80.08,25,100,0.81,overcast clouds
167,Sao Felix Do Xingu,BR,2021-10-24 12:41:48,-6.6447,-51.995,87.87,54,13,3.44,few clouds
168,Sabang,ID,2021-10-24 12:41:49,5.8933,95.3214,81.77,76,100,7.61,overcast clouds
169,Forio,IT,2021-10-24 12:41:49,40.7342,13.8646,69.82,73,100,13.0,overcast clouds
170,Carnarvon,AU,2021-10-24 12:39:59,-24.8667,113.6333,69.87,78,90,17.27,overcast clouds
171,Port Lincoln,AU,2021-10-24 12:41:49,-34.7333,135.8667,54.45,72,0,13.65,clear sky
172,Opuwo,NA,2021-10-24 12:39:54,-18.0607,13.84,96.26,10,1,13.47,clear sky
173,Airai,TL,2021-10-24 12:41:50,-8.9266,125.4092,64.09,90,89,1.72,overcast clouds
174,Auki,SB,2021-10-24 12:41:50,-8.7676,160.7034,78.22,86,50,2.33,scattered clouds
175,North Bend,US,2021-10-24 12:41:50,43.4065,-124.2243,54.95,96,90,9.22,overcast clouds
176,Bambous Virieux,MU,2021-10-24 12:41:51,-20.3428,57.7575,77.25,73,75,13.8,broken clouds
177,Pitimbu,BR,2021-10-24 12:41:51,-7.4706,-34.8086,82.99,62,96,15.23,overcast clouds
178,Mount Isa,AU,2021-10-24 12:41:51,-20.7333,139.5,80.37,61,90,2.3,light rain
179,Bezhetsk,RU,2021-10-24 12:41:52,57.7851,36.6965,35.87,71,34,15.75,scattered clouds
180,Pouembout,NC,2021-10-24 12:41:52,-21.1333,164.9,71.98,83,69,4.09,broken clouds
181,Pomoryany,UA,2021-10-24 12:41:53,49.6409,24.9307,44.51,48,100,10.27,overcast clouds
182,Cayenne,GF,2021-10-24 12:40:14,4.9333,-52.3333,84.24,84,75,7.0,broken clouds
183,Henties Bay,NA,2021-10-24 12:41:53,-22.116,14.2845,61.86,72,5,12.48,clear sky
184,Sao Filipe,CV,2021-10-24 12:40:21,14.8961,-24.4956,80.89,64,5,8.37,clear sky
185,Labuhan,ID,2021-10-24 12:41:54,-6.8844,112.2051,82.81,74,98,1.19,overcast clouds
186,Zhezkazgan,KZ,2021-10-24 12:41:54,47.8043,67.7144,51.13,36,10,5.21,clear sky
187,Kano,NG,2021-10-24 12:41:54,12.0001,8.5167,93.09,38,0,11.5,clear sky
188,Adolfo Lopez Mateos,MX,2021-10-24 12:41:55,28.4667,-107.3,39.87,78,0,2.8,clear sky
189,Jasper,US,2021-10-24 12:39:36,37.2001,-94.3502,72.0,81,1,8.99,clear sky
190,Touros,BR,2021-10-24 12:41:28,-5.1989,-35.4608,86.9,61,100,14.47,overcast clouds
191,Suriapet,IN,2021-10-24 12:41:55,17.15,79.6167,77.83,67,82,6.96,broken clouds
192,Tortoli,IT,2021-10-24 12:41:56,39.9256,9.6572,66.97,82,40,27.63,moderate rain
193,La Curva,PH,2021-10-24 12:41:56,12.4048,121.0459,78.44,83,99,5.5,overcast clouds
194,Hobyo,SO,2021-10-24 12:41:56,5.3505,48.5268,81.88,70,14,13.47,few clouds
195,Nikolskoye,RU,2021-10-24 12:41:57,59.7035,30.7861,37.87,69,45,6.4,scattered clouds
196,Bismarck,US,2021-10-24 12:39:16,46.8083,-100.7837,39.87,94,90,6.91,light rain
197,Jamsa,FI,2021-10-24 12:41:57,61.8642,25.19,35.15,78,100,7.29,snow
